fx,fy,fz,tx,ty,tz,ax,ay,az,gx,gy,gz,r11,r12,r13,r21,r22,r23,r31,r32,r33
9.32155,-10.2251,9.98179,0.832826,-0.700524,-0.158358,-0.00700928,0.00710205,1.08161,-0.00167422,-9.82085,0.000118293,-1,0.000170476,0.00000551063,0.00000551269,0.0000120441,1,0.000170476,1,-0.0000120451
8.87916,8.20258,9.87991,0.0309001,-0.683227,-0.156063,-0.00559082,0.0117578,-0.926416,-0.00120579,9.82085,-0.0000041191,1,0.000122778,0.000000119832,-0.000000119884,0.00000041941,1,0.000122778,-1,0.000000419424
8.98348,-0.934338,0.807169,0.430626,-0.686383,-0.158181,-1.00413,0.0276929,0.0719897,0.000820925,0.00000942063,-9.82085,-1,-0.0000061838,-0.00008359,0.00000618388,-1,-0.000000958731,-0.00008359,-0.000000959248,1
9.24297,-1.06118,19.0794,0.434973,-0.695032,-0.155577,0.994692,-0.00242432,0.0801172,-0.000387805,0.000019774,9.82085,-1,0.00000215706,-0.000039488,0.00000215713,1,-0.00000201339,0.000039488,-0.00000201347,-1
8.9416,-10.1478,9.99636,0.835486,-0.696039,-0.162997,-0.0073584,0.00145996,1.08175,0.0000152999,-9.82085,0.00120167,-0.00000007212,0.000122359,1,1,0.00000155791,0.0000000719294,-0.0000015579,1,-0.000122359
8.92568,8.18676,9.95703,0.0306603,-0.684332,-0.155465,-0.00111084,0.0108594,-0.926648,-0.00000529645,9.82085,0.00100276,-5.50662E-11,0.000102106,-1,1,0.000000539307,1.66533E-16,0.000000539307,-1,-0.000102106
8.9728,-0.944301,0.817744,0.430332,-0.689774,-0.158202,-1.0047,0.021521,0.0728833,-4.11272E-11,0.000686751,-9.82085,0.0000000598866,-1,-0.0000699279,1,0.0000000598866,0,4.18775E-12,-0.0000699279,1
9.00885,-1.08123,19.1006,0.433787,-0.694853,-0.158967,0.995547,-0.0105127,0.0805688,0.00000941538,0.0002707,9.82085,0.0000000599678,1,-0.0000275638,1,-0.0000000599942,-0.000000958712,-0.000000958713,-0.0000275638,-1
18.3135,-1.04967,10.0013,0.435689,-0.290596,-0.15537,0.00873047,1.00815,0.079375,9.82085,0.000523155,-0.0000582612,0.0000532699,-1,0.00000418216,0.00000593218,0.00000418247,1,-1,-0.0000532698,0.0000059324
-0.0630915,-0.993096,9.92934,0.428994,-1.09496,-0.156192,-0.0174194,-0.99051,0.0700244,-9.82085,0.000509031,-0.000010593,-0.0000518317,-1,0.000000191756,0.00000107861,-0.000000191812,-1,1,-0.0000518317,0.00000107862
9.16875,-0.999505,0.847714,0.433006,-0.689014,-0.15493,-1.00466,0.0277075,0.0774487,-0.0000000124474,-0.000608484,-9.82085,0.0000176048,1,-0.0000619584,-1,0.0000176048,1.76679E-10,0.00000000126745,0.0000619584,1
9.26869,-1.10742,19.1091,0.428833,-0.69722,-0.155844,0.996572,-0.00679443,0.0740698,-0.0000131813,-0.000428411,9.82085,-0.000000299592,-1,-0.0000436227,-1,0.00000029965,-0.00000134216,0.00000134217,0.0000436226,-1
18.2132,-1.02405,10.0234,0.439296,-0.289029,-0.157162,0.0109448,1.00745,0.0859253,9.82085,0.0000248339,0.00133054,-0.000135482,0.00000035919,1,-0.00000252865,1,-0.000000359533,-1,-0.0000025287,-0.000135482
-0.115346,-1.00005,9.97874,0.429817,-1.0922,-0.156939,-0.0152881,-0.991082,0.0741064,-9.82085,-0.00000882741,-0.00118755,0.000120921,-0.00000017966,-1,-0.000000898823,1,-0.000000179769,1,0.000000898845,0.000120921
8.94884,-1.05261,0.847133,0.431572,-0.689666,-0.158588,-1.0057,0.0197681,0.0771484,-0.000852113,0.00000376543,-9.82085,1,0.000000239693,-0.0000867658,-0.00000023966,1,0.000000383433,0.0000867658,-0.000000383412,1
9.21974,-1.05732,19.1202,0.434686,-0.694612,-0.156027,0.996907,-0.00168701,0.0790405,0.000255988,0.00000282474,9.82085,-1,0.000000119888,0.0000260657,0.000000119881,1,-0.00000028763,-0.0000260657,-0.000000287627,-1
18.2475,-1.07723,10.0022,0.433807,-0.289503,-0.157061,0.00946533,1.00838,0.0791064,9.82085,0.000713822,0.00015065,0.0000726843,-1,0.000000288745,-0.0000153398,0.00000028763,1,-1,-0.0000726843,-0.0000153398
-0.062394,-1.04321,9.90633,0.431527,-1.09477,-0.156003,-0.0217578,-0.990469,0.0748291,-9.82085,-0.000720884,-0.0000464954,-0.0000734035,1,0.00000805313,-0.00000473377,-0.00000805347,1,1,0.0000734034,0.00000473436
9.31803,-10.1947,10.0512,0.833374,-0.699689,-0.157341,-0.00661865,0.00664551,1.08096,-0.00118225,-9.82085,0.00000764965,-1,0.000120382,-0.000000359651,-0.000000359557,0.000000778963,1,0.000120382,1,-0.00000077892
8.87114,8.19897,9.94056,0.0307569,-0.682876,-0.156057,-0.00548096,0.0109497,-0.926809,-0.000547284,9.82085,0.00000294279,1,0.0000557267,-0.000000167752,0.000000167769,-0.000000299638,1,0.0000557267,-1,-0.000000299647
18.1535,-0.987638,10.0878,0.436125,-0.287879,-0.157281,0.0150049,1.00724,0.0812598,9.82085,-0.000856108,-0.000939208,-0.0000956335,0.00000719888,-1,-0.0000871732,-1,-0.00000719054,-1,0.0000871725,0.0000956341
-0.0636218,-1.03708,10.0041,0.428825,-1.09317,-0.1565,-0.0143262,-0.988972,0.0739307,-9.82085,0.0000344854,0.0000223621,-0.000002277,7.27167E-12,-1,0.00000351145,1,-7.23898E-13,1,-0.00000351145,-0.000002277
8.97247,8.13082,10.0159,0.0305245,-0.685044,-0.155408,0.00266602,0.0130884,-0.926213,-0.00000635467,9.82085,0.00000765007,-5.04041E-13,0.000000778962,-1,1,0.000000647059,1.66533E-16,0.000000647059,-1,-0.000000778962
9.16489,-10.137,10.1506,0.833684,-0.697067,-0.158319,0.00273437,0.00506592,1.08053,-0.0000514328,-9.82085,0.00000117735,-0.000000119883,-0.000000119882,-1,-1,0.0000052371,0.000000119882,0.0000052371,1,-0.000000119882
