fx,fy,fz,tx,ty,tz
18.1656,-1.01752,10.1805,0.432489,-0.290681,-0.151552
18.1609,-1.05219,10.1276,0.433171,-0.291979,-0.151616
18.1567,-1.04642,10.1732,0.433032,-0.290793,-0.151552
18.1331,-1.0335,10.1505,0.431678,-0.292419,-0.151439
18.1384,-1.05848,10.1439,0.434231,-0.292346,-0.151184
18.1648,-1.06333,10.1432,0.433475,-0.293028,-0.151479
18.1439,-1.05054,10.1507,0.433439,-0.292922,-0.151583
18.156,-1.05484,10.1428,0.433808,-0.291796,-0.151725
18.1638,-1.05397,10.1506,0.434471,-0.292785,-0.151731
18.1779,-1.03947,10.1437,0.432424,-0.290923,-0.150814
18.1822,-1.03339,10.1887,0.432497,-0.290221,-0.151158
18.1715,-1.05261,10.1819,0.434481,-0.290339,-0.151023
18.1738,-1.04265,10.2115,0.432621,-0.290489,-0.15126
18.1742,-1.04049,10.1652,0.432639,-0.292021,-0.15172
18.1726,-1.04166,10.1895,0.433513,-0.291246,-0.150892
18.1408,-1.04852,10.1735,0.43237,-0.292496,-0.151421
18.1516,-1.03137,10.1974,0.433669,-0.293041,-0.150879
18.1607,-1.0475,10.2048,0.433022,-0.292105,-0.150872
18.1829,-1.01708,10.2267,0.43204,-0.291642,-0.151129
18.1991,-1.02978,10.2182,0.432741,-0.289795,-0.151665
18.1784,-1.0117,10.2494,0.432113,-0.290073,-0.151087
18.1543,-1.00407,10.2346,0.431137,-0.291436,-0.150829
18.1907,-1.02014,10.2875,0.432441,-0.289702,-0.151053
18.1874,-1.00274,10.294,0.431994,-0.28981,-0.151704
18.2109,-1.02891,10.3175,0.433412,-0.289305,-0.15143
18.2122,-1.04387,10.3249,0.432349,-0.289034,-0.151423
18.2578,-1.04465,10.3324,0.432718,-0.287805,-0.151314
18.2488,-1.05013,10.348,0.433107,-0.287185,-0.151151
18.2315,-1.04373,10.3633,0.433651,-0.288008,-0.151256
18.1958,-1.02427,10.3328,0.431729,-0.288606,-0.151132
18.1736,-1.0253,10.3407,0.43285,-0.289239,-0.151239
18.19,-1.04477,10.341,0.433254,-0.289792,-0.151126
18.1925,-0.992402,10.3555,0.430802,-0.288601,-0.150972
18.2174,-1.01816,10.309,0.431328,-0.288109,-0.15157
18.2147,-1.02846,10.3792,0.433422,-0.288079,-0.150828
18.2012,-1.00259,10.3699,0.430888,-0.288565,-0.151492
18.2273,-1.02782,10.3709,0.433409,-0.286963,-0.151103
18.2248,-1.04286,10.3102,0.431902,-0.288168,-0.150916
18.1888,-1.01289,10.3551,0.43078,-0.28967,-0.151375
18.1898,-1.05936,10.3482,0.433738,-0.2899,-0.151515
18.2018,-1.048,10.3415,0.433859,-0.289552,-0.15087
18.1783,-1.02673,10.3182,0.432384,-0.29005,-0.151011
18.2198,-1.04482,10.3097,0.432985,-0.288496,-0.151441
18.2323,-1.0517,10.2951,0.432884,-0.289143,-0.151079
18.224,-1.01819,10.2952,0.432419,-0.288326,-0.1508
18.2102,-1.06444,10.3026,0.433861,-0.288237,-0.151306
18.2136,-1.05211,10.2873,0.434663,-0.28843,-0.151458
18.1703,-1.02392,10.2726,0.432203,-0.291861,-0.151069
18.1932,-1.0425,10.2798,0.434146,-0.289592,-0.151457
18.1862,-1.03149,10.2798,0.432969,-0.290272,-0.151326
18.1742,-1.04775,10.2568,0.432565,-0.290483,-0.151475
18.1937,-1.02527,10.2575,0.433693,-0.29152,-0.151102
18.1945,-1.03264,10.2486,0.433157,-0.289485,-0.151757
18.1986,-1.0341,10.2262,0.433132,-0.290294,-0.151528
18.1852,-1.05484,10.2653,0.433788,-0.291124,-0.151084
18.1893,-1.05213,10.2579,0.433815,-0.291431,-0.150966
18.1514,-1.05695,10.2495,0.434467,-0.292374,-0.151739
18.1436,-1.05722,10.2494,0.433813,-0.291894,-0.151729
18.199,-1.0344,10.2953,0.432699,-0.29029,-0.151057
18.2274,-1.05006,10.3024,0.433571,-0.288459,-0.151323
18.2145,-1.05597,10.3179,0.433961,-0.289315,-0.151301
18.2413,-1.04239,10.3021,0.432544,-0.289006,-0.151342
18.2483,-1.04945,10.3329,0.433554,-0.287693,-0.151171
18.2401,-1.05896,10.3099,0.433447,-0.287582,-0.15132
18.2003,-1.01341,10.34,0.431414,-0.287657,-0.151252
18.2354,-1.07667,10.2717,0.433893,-0.286873,-0.151484
18.1977,-1.04465,10.303,0.433899,-0.290018,-0.151176
18.1046,-0.994287,10.2648,0.431109,-0.294026,-0.1513
18.1221,-1.05234,10.2581,0.434126,-0.293295,-0.151183
18.132,-1.02398,10.2576,0.432693,-0.292678,-0.151189
18.1801,-0.988887,10.2567,0.430405,-0.288713,-0.150939
18.2119,-1.04762,10.249,0.432514,-0.289665,-0.151379
18.2002,-1.06391,10.2725,0.435197,-0.288387,-0.151329
18.2215,-1.02501,10.2563,0.431233,-0.288403,-0.151238
18.2219,-1.08238,10.2727,0.434505,-0.287851,-0.151082
18.2258,-1.05915,10.234,0.434994,-0.288826,-0.151531
18.1955,-0.998528,10.2339,0.431806,-0.289278,-0.151113
18.19,-1.04744,10.2118,0.433202,-0.291061,-0.151147
18.1948,-1.04123,10.2039,0.432608,-0.290233,-0.151153
18.1551,-1.00572,10.1874,0.430665,-0.289919,-0.151662
18.1769,-1.02461,10.1585,0.433487,-0.291196,-0.151193
18.1698,-1.03367,10.1587,0.432288,-0.291467,-0.150927
18.1138,-0.99983,10.1422,0.430348,-0.293238,-0.151701
18.139,-1.03813,10.1588,0.433818,-0.293012,-0.151305
18.1448,-1.02206,10.1204,0.432236,-0.292074,-0.151214
18.1613,-1.01347,10.0975,0.432313,-0.291524,-0.151118
18.1385,-1.05252,10.1209,0.434299,-0.293118,-0.151347
18.1285,-1.02945,10.0981,0.431727,-0.293387,-0.150972
18.14,-1.03389,10.1437,0.432764,-0.292384,-0.151055
18.1401,-1.04452,10.1206,0.432631,-0.29161,-0.151206
18.1568,-1.01954,10.113,0.43269,-0.29248,-0.151104
18.1453,-1.01688,10.1353,0.43186,-0.292337,-0.151333
18.1557,-1.03074,10.12,0.433876,-0.291448,-0.151614
18.1788,-1.02318,10.1201,0.431956,-0.292095,-0.151246
18.1717,-1.05165,10.1514,0.434268,-0.290978,-0.151062
18.1789,-1.02472,10.1428,0.431719,-0.290949,-0.151213
18.1689,-1.04437,10.1358,0.433036,-0.290689,-0.151076
18.1787,-1.02879,10.1355,0.43189,-0.291577,-0.151093
18.1435,-1.04687,10.1358,0.433481,-0.291909,-0.151326
18.1114,-1.03426,10.1436,0.432139,-0.293179,-0.151168
18.1391,-1.02165,10.1213,0.433572,-0.294303,-0.150961
18.1826,-1.02657,10.158,0.432355,-0.291631,-0.151336
18.1815,-1.01792,10.1806,0.433344,-0.290878,-0.151566
18.1781,-1.03062,10.1736,0.432314,-0.290302,-0.15104
18.1436,-1.02222,10.205,0.433131,-0.292318,-0.150725
18.1604,-1.06187,10.1663,0.433502,-0.292215,-0.151311
18.1732,-1.02644,10.2192,0.43326,-0.291779,-0.15126
18.2033,-1.03635,10.2417,0.432661,-0.290595,-0.151254
18.192,-1.04689,10.2574,0.435193,-0.289962,-0.151351
18.1831,-1.01933,10.2646,0.431797,-0.289987,-0.151074
18.1995,-1.02959,10.2879,0.432096,-0.29017,-0.150801
18.2392,-1.05472,10.3027,0.433938,-0.287075,-0.151058
18.2448,-1.02779,10.2716,0.432709,-0.287043,-0.15123
18.2254,-1.02625,10.2486,0.431652,-0.289467,-0.151391
18.2052,-1.07605,10.3108,0.43461,-0.288675,-0.151163
18.1824,-1.04803,10.2802,0.432555,-0.290579,-0.151061
18.1809,-1.05316,10.3024,0.434259,-0.290571,-0.151693
18.2012,-1.0716,10.2806,0.434446,-0.290028,-0.151072
18.1778,-1.02665,10.3253,0.433046,-0.290178,-0.151399
18.1709,-1.01096,10.3103,0.431482,-0.29061,-0.151018
18.1836,-1.06569,10.2959,0.435205,-0.290468,-0.151174
18.2174,-1.02281,10.2946,0.431051,-0.288227,-0.151059
18.2451,-1.03781,10.2861,0.432809,-0.286906,-0.151741
18.2345,-1.07971,10.2723,0.43474,-0.288388,-0.151362
18.207,-1.02649,10.2795,0.433,-0.289006,-0.151334
18.1738,-1.03201,10.2645,0.432978,-0.291392,-0.151472
18.1722,-1.08096,10.2729,0.434373,-0.291445,-0.15133
18.1666,-1.00703,10.2491,0.431746,-0.291457,-0.151352
18.1858,-1.0271,10.2496,0.433018,-0.289768,-0.15109
18.2018,-1.06298,10.2342,0.43388,-0.288903,-0.151379
18.1976,-1.00233,10.2326,0.430435,-0.290046,-0.151784
18.2108,-1.03862,10.2341,0.433281,-0.289038,-0.151256
18.2135,-1.07099,10.2419,0.434649,-0.288785,-0.151379
18.1713,-1.00572,10.2115,0.430869,-0.290493,-0.150863
18.1721,-1.04719,10.2121,0.43411,-0.290857,-0.151127
18.1945,-1.05593,10.204,0.432871,-0.290212,-0.151153
18.1416,-0.977854,10.2044,0.430806,-0.290431,-0.150578
18.1646,-1.0386,10.1592,0.433338,-0.293311,-0.150935
18.1433,-1.05116,10.1742,0.433657,-0.292535,-0.151157
18.1178,-1.00762,10.1205,0.430027,-0.292891,-0.150935
18.1697,-1.01063,10.1581,0.432344,-0.290357,-0.151181
18.1856,-1.03934,10.1356,0.433294,-0.291278,-0.151228
18.1708,-1.00399,10.1426,0.43154,-0.291642,-0.151343
18.1398,-1.0418,10.1126,0.433325,-0.293775,-0.151628
18.1672,-1.05297,10.1285,0.434695,-0.291688,-0.151221
18.1912,-1.02206,10.143,0.431955,-0.291483,-0.151096
18.169,-1.02859,10.1434,0.433008,-0.291599,-0.151075
18.1566,-1.04332,10.1283,0.433066,-0.293081,-0.151225
18.1259,-0.984757,10.1503,0.430295,-0.292008,-0.151165
18.1204,-1.00478,10.1274,0.431819,-0.293453,-0.151592
18.1775,-1.04379,10.1816,0.433039,-0.291551,-0.151041
18.1962,-1.02683,10.1495,0.431449,-0.289755,-0.151607
18.1847,-1.04166,10.1737,0.433932,-0.28962,-0.151171
18.1632,-1.06486,10.1739,0.434784,-0.292003,-0.151434
